Stop;Valid;Public_Transportation_Valid;Last_Accessible;Valid_IC_route
Norddeich Mole;TRUE;TRUE;FALSE;TRUE
Norden;TRUE;TRUE;FALSE;TRUE
Marianhafe;TRUE;TRUE;FALSE;TRUE
Emden Hbf;TRUE;TRUE;FALSE;TRUE
Emden Außenhafen;TRUE;TRUE;FALSE;TRUE
Leer;TRUE;TRUE;FALSE;TRUE
Augustfehn;TRUE;TRUE;FALSE;TRUE
Westerstede-Ochholt;TRUE;TRUE;FALSE;TRUE
Oldenburg;TRUE;TRUE;FALSE;TRUE
Hude;TRUE;TRUE;FALSE;TRUE
Delmenhorst;TRUE;TRUE;FALSE;TRUE
Bremen Hbf;TRUE;TRUE;FALSE;TRUE
Weener;TRUE;TRUE;TRUE;FALSE
Papenburg;TRUE;TRUE;FALSE;FALSE
Aschendorf;TRUE;TRUE;FALSE;FALSE
Dörpen;TRUE;TRUE;FALSE;FALSE
Lathen;TRUE;TRUE;FALSE;FALSE
Haren;TRUE;TRUE;FALSE;FALSE
Meppen;TRUE;TRUE;FALSE;FALSE
Lingen;TRUE;TRUE;FALSE;FALSE
Salzbergen;TRUE;TRUE;FALSE;FALSE
Esens;TRUE;TRUE;FALSE;FALSE
Jever;TRUE;TRUE;FALSE;FALSE
Sande;TRUE;TRUE;FALSE;FALSE
Wilhelmshaven;TRUE;TRUE;FALSE;FALSE
Sande;TRUE;TRUE;FALSE;FALSE
Varel;TRUE;TRUE;FALSE;FALSE
Rastede;TRUE;TRUE;FALSE;FALSE
Cloppenburg;TRUE;TRUE;FALSE;FALSE
Wremen;TRUE;TRUE;FALSE;FALSE
Nordenham;TRUE;TRUE;FALSE;FALSE
Brake;TRUE;TRUE;FALSE;FALSE
Bremerhaven Hbf;TRUE;TRUE;FALSE;FALSE
Farge;TRUE;TRUE;FALSE;FALSE
Burg;TRUE;TRUE;FALSE;FALSE
Sandkrug;TRUE;TRUE;FALSE;FALSE
Huntlosen;TRUE;TRUE;FALSE;FALSE
Ahlhorn;TRUE;TRUE;FALSE;FALSE
Osterholz-Scharmbeck;TRUE;TRUE;FALSE;FALSE
Ottersberg;TRUE;TRUE;FALSE;FALSE
Brettorf;TRUE;TRUE;FALSE;FALSE
Wildeshausen;TRUE;TRUE;FALSE;FALSE
Syke;TRUE;TRUE;FALSE;FALSE
Twistringen;TRUE;TRUE;FALSE;FALSE
Diepholz;TRUE;TRUE;FALSE;FALSE
Verden;TRUE;TRUE;FALSE;FALSE
Hengelo (NL);TRUE;FALSE;TRUE;FALSE
Münster Hbf;TRUE;FALSE;TRUE;FALSE
Bielefeld Hbf;TRUE;FALSE;TRUE;FALSE
Padernborn Hbf;TRUE;FALSE;TRUE;FALSE
Hamburg Hbf;TRUE;FALSE;TRUE;FALSE
Lübeck Hbf;TRUE;FALSE;TRUE;FALSE
Schnega;TRUE;FALSE;TRUE;FALSE
Wolfsburg Hbf;TRUE;FALSE;TRUE;FALSE
Magdeburg Hbf;TRUE;FALSE;TRUE;FALSE
Vienenburg;TRUE;FALSE;TRUE;FALSE
Nordhausen;TRUE;FALSE;TRUE;FALSE
Leinefelde;TRUE;FALSE;TRUE;FALSE
Kassel Hbf;TRUE;FALSE;TRUE;FALSE
Vechta;TRUE;FALSE;FALSE;FALSE
Quakenbrück;TRUE;FALSE;FALSE;FALSE
Steinfeld;TRUE;FALSE;FALSE;FALSE
Hasepe;TRUE;FALSE;FALSE;FALSE
Bramsche;TRUE;FALSE;FALSE;FALSE
Neuenhaus;TRUE;FALSE;FALSE;FALSE
Nordhorn;TRUE;FALSE;FALSE;FALSE
Schüttorf;TRUE;FALSE;FALSE;FALSE
Bad Bentheim;TRUE;FALSE;FALSE;FALSE
Rheine-Mesum;TRUE;FALSE;FALSE;FALSE
Greven;TRUE;FALSE;FALSE;FALSE
Rheine;TRUE;FALSE;FALSE;FALSE
Ibbenbühren;TRUE;FALSE;FALSE;FALSE
Halen;TRUE;FALSE;FALSE;FALSE
Natrup-Hagen;TRUE;FALSE;FALSE;FALSE
Kattenvenne;TRUE;FALSE;FALSE;FALSE
Westbevern;TRUE;FALSE;FALSE;FALSE
Osnabrück Hbf;TRUE;FALSE;FALSE;FALSE
Bohmte;TRUE;FALSE;FALSE;FALSE
Dissen-Bad Rothenfelde;TRUE;FALSE;FALSE;FALSE
Halle;TRUE;FALSE;FALSE;FALSE
Bünde;TRUE;FALSE;FALSE;FALSE
Löhne;TRUE;FALSE;FALSE;FALSE
Minden;TRUE;FALSE;FALSE;FALSE
Halle;TRUE;FALSE;FALSE;FALSE
Herford;TRUE;FALSE;FALSE;FALSE
Vlotho;TRUE;FALSE;FALSE;FALSE
Lage(Lippe);TRUE;FALSE;FALSE;FALSE
Altenbeken;TRUE;FALSE;FALSE;FALSE
Bad Driburg;TRUE;FALSE;FALSE;FALSE
Schieder;TRUE;FALSE;FALSE;FALSE
Lügde;TRUE;FALSE;FALSE;FALSE
Brakel;TRUE;FALSE;FALSE;FALSE
Ottbergen;TRUE;FALSE;FALSE;FALSE
Rinteln;TRUE;FALSE;FALSE;FALSE
Bückeburg;TRUE;FALSE;FALSE;FALSE
Leese-Stolzenau;TRUE;FALSE;FALSE;FALSE
Nienburg;TRUE;FALSE;FALSE;FALSE
Cuxhaven;TRUE;FALSE;FALSE;FALSE
Wingst;TRUE;FALSE;FALSE;FALSE
Stade;TRUE;FALSE;FALSE;FALSE
Bremervörde;TRUE;FALSE;FALSE;FALSE
Buxtehude;TRUE;FALSE;FALSE;FALSE
Harburg;TRUE;FALSE;FALSE;FALSE
Buchholz;TRUE;FALSE;FALSE;FALSE
Tostedt;TRUE;FALSE;FALSE;FALSE
Scheeßel;TRUE;FALSE;FALSE;FALSE
Rotenburg;TRUE;FALSE;FALSE;FALSE
Visselhövede;TRUE;FALSE;FALSE;FALSE
Walsrode;TRUE;FALSE;FALSE;FALSE
Hagen(Han);TRUE;FALSE;FALSE;FALSE
Hannover Flughafen;TRUE;FALSE;FALSE;FALSE
Wunstorf;TRUE;FALSE;FALSE;FALSE
Haste;TRUE;FALSE;FALSE;FALSE
Hannover Hbf;TRUE;FALSE;FALSE;FALSE
Weetzen;TRUE;FALSE;FALSE;FALSE
Springe;TRUE;FALSE;FALSE;FALSE
Soltau;TRUE;FALSE;FALSE;FALSE
Suderburg;TRUE;FALSE;FALSE;FALSE
Brockhöfe;TRUE;FALSE;FALSE;FALSE
Celle;TRUE;FALSE;FALSE;FALSE
Ratzeburg;TRUE;FALSE;FALSE;FALSE
Mölln;TRUE;FALSE;FALSE;FALSE
Büchen;TRUE;FALSE;FALSE;FALSE
Echem;TRUE;FALSE;FALSE;FALSE
Lüneburg;TRUE;FALSE;FALSE;FALSE
Dannenberg Ost;TRUE;FALSE;FALSE;FALSE
Uelzen;TRUE;FALSE;FALSE;FALSE
Wieren;TRUE;FALSE;FALSE;FALSE
Wittingen;TRUE;FALSE;FALSE;FALSE
Schönewörde;TRUE;FALSE;FALSE;FALSE
Calberlah;TRUE;FALSE;FALSE;FALSE
Gifhorn;TRUE;FALSE;FALSE;FALSE
Lehrte;TRUE;FALSE;FALSE;FALSE
Sarstedt;TRUE;FALSE;FALSE;FALSE
Peine;TRUE;FALSE;FALSE;FALSE
Braunscweig Hbf;TRUE;FALSE;FALSE;FALSE
Helmstedt;TRUE;FALSE;FALSE;FALSE
Ovelgünne;TRUE;FALSE;FALSE;FALSE
Wolfenbüttel;TRUE;FALSE;FALSE;FALSE
Schöppenstedt;TRUE;FALSE;FALSE;FALSE
Hildesheim Hbf;TRUE;FALSE;FALSE;FALSE
Hameln;TRUE;FALSE;FALSE;FALSE
Bad Pyrmont;TRUE;FALSE;FALSE;FALSE
Elze;TRUE;FALSE;FALSE;FALSE
Holzminden;TRUE;FALSE;FALSE;FALSE
Bodenfelde;TRUE;FALSE;FALSE;FALSE
Stadtoldendorf;TRUE;FALSE;FALSE;FALSE
Einbeck-Mitte;TRUE;FALSE;FALSE;FALSE
Alfeld;TRUE;FALSE;FALSE;FALSE
Bodenburg;TRUE;FALSE;FALSE;FALSE
Kreiensen;TRUE;FALSE;FALSE;FALSE
Northeim;TRUE;FALSE;FALSE;FALSE
Seesen;TRUE;FALSE;FALSE;FALSE
Osterode;TRUE;FALSE;FALSE;FALSE
Goslar;TRUE;FALSE;FALSE;FALSE
Bad Harzburg;TRUE;FALSE;FALSE;FALSE
Lebenstedt;TRUE;FALSE;FALSE;FALSE
Ringelheim;TRUE;FALSE;FALSE;FALSE
Herzberg;TRUE;FALSE;FALSE;FALSE
Adelebsen;TRUE;FALSE;FALSE;FALSE
Göttingen;TRUE;FALSE;FALSE;FALSE
Walkenried;TRUE;FALSE;FALSE;FALSE
Friedland;TRUE;FALSE;FALSE;FALSE
Niedersachswerfen;TRUE;FALSE;FALSE;FALSE
Eichenberg;TRUE;FALSE;FALSE;FALSE
Uder;TRUE;FALSE;FALSE;FALSE
Heiligenstadt;TRUE;FALSE;FALSE;FALSE
Hann. Münden;TRUE;FALSE;FALSE;FALSE